#t_s,value
0.601000,-0.049533
0.602000,-0.049862
0.603000,-0.049847
0.604000,-0.049486
0.605000,-0.048776
0.606000,-0.047721
0.607000,-0.046327
0.608000,-0.044601
0.609000,-0.042554
0.610000,-0.040200
0.611000,-0.037555
0.612000,-0.034639
0.613000,-0.031470
0.614000,-0.028074
0.615000,-0.024476
0.616000,-0.020702
0.617000,-0.016783
0.618000,-0.012748
0.619000,-0.008630
0.620000,-0.004460
0.621000,-0.000274
0.622000,0.003895
0.623000,0.008013
0.624000,0.012045
0.625000,0.015958
0.626000,0.019717
0.627000,0.023291
0.628000,0.026647
0.629000,0.029756
0.630000,0.032589
0.631000,0.035120
0.632000,0.037324
0.633000,0.039179
0.634000,0.040664
0.635000,0.041762
0.636000,0.042461
0.637000,0.042748
0.638000,0.042615
0.639000,0.042055
0.640000,0.041070
0.641000,0.039659
0.642000,0.037827
0.643000,0.035581
0.644000,0.032933
0.645000,0.029897
0.646000,0.026491
0.647000,0.022734
0.648000,0.018650
0.649000,0.014264
0.650000,0.009605
0.651000,0.004703
0.652000,-0.000411
0.653000,-0.005702
0.654000,-0.011133
0.655000,-0.016667
0.656000,-0.022269
0.657000,-0.027897
0.658000,-0.033515
0.659000,-0.039082
0.660000,-0.044559
0.661000,-0.049907
0.662000,-0.055091
0.663000,-0.060072
0.664000,-0.064817
0.665000,-0.069291
0.666000,-0.073463
0.667000,-0.077303
0.668000,-0.080784
0.669000,-0.083882
0.670000,-0.086577
0.671000,-0.088848
0.672000,-0.090680
0.673000,-0.092062
0.674000,-0.092983
0.675000,-0.093439
0.676000,-0.093427
0.677000,-0.092949
0.678000,-0.092010
0.679000,-0.090616
0.680000,-0.088782
0.681000,-0.086520
0.682000,-0.083849
0.683000,-0.080789
0.684000,-0.077364
0.685000,-0.073600
0.686000,-0.069527
0.687000,-0.065173
0.688000,-0.060573
0.689000,-0.055760
0.690000,-0.050770
0.691000,-0.045641
0.692000,-0.040408
0.693000,-0.035111
0.694000,-0.029786
0.695000,-0.024473
0.696000,-0.019208
0.697000,-0.014028
